week,OffenseTeam,DefenseTeam,Down,YardsToGo,yardline_100,play_type,Quarter,game_seconds_remaining,game_half,drive,series,score_differential,stadium,roof,surface_type,HOME_day_since_last_game,AWAY_day_since_last_game,total_play_count,home_team_on_offense,home_team_on_defense,season_progression,defenders_in_box,offense_formation,Temperature,Precipitation,goal_line_situation,pass_count,run_count,current_defence_rank,temperature_grade,epa,late_season,is_close_game,poor_field_condition,rest_differential,blitz_situation,short_rest,pass_run_ratio,offensive_predictability,fourth_down_attempt,third_and_long,Predicted,Actual,Fold,Rule_Number
8,11,20,4,3,44,4,3,1074,2,9,34,-14,15,3,2,7.0,14.0,102,53,49,0.470588235,5,7,36.32,0.0,0,36,42,27,1,3.4280169,0,0,1,-7.0,0,0,0.461538462,0.038461538,1,0,1,1,18,21
13,19,25,1,10,75,4,1,3600,1,1,1,0,13,3,2,7.0,7.0,2,2,0,0.764705882,6,7,82.4,0.0,0,1,0,20,3,-6.257349848,1,0,1,0.0,0,0,1.0,0.5,0,0,0,1,18,34
4,17,19,1,10,16,4,4,792,2,12,38,10,13,3,2,7.0,7.0,114,53,61,0.235294118,8,2,89.0,0.0,0,50,38,32,3,1.173673216,0,0,1,0.0,1,0,0.568181818,0.068181818,0,0,1,1,18,21
8,11,20,4,3,44,4,3,1074,2,9,34,-14,15,3,2,7.0,14.0,102,53,49,0.470588235,5,7,36.32,0.0,0,36,42,27,1,3.4280169,0,0,1,-7.0,0,0,0.461538462,0.038461538,1,0,1,1,18,21
16,12,6,1,10,58,4,2,1981,1,9,22,-7,24,0,2,7.0,6.0,65,25,40,0.941176471,6,7,70.18571429,0.0,0,32,20,23,0,-0.379265219,1,0,1,1.0,0,1,0.615384615,0.115384615,0,0,0,1,18,13
17,8,23,1,10,24,4,3,990,2,19,52,-4,23,3,1,7.0,7.0,126,55,71,1.0,6,8,8.948214286,0.10952381,0,57,38,13,1,-0.406432921,1,0,0,0.0,0,0,0.6,0.1,0,0,0,1,18,13
5,15,18,4,6,54,5,1,3470,1,1,2,0,11,3,0,6.0,7.0,8,8,0,0.294117647,0,6,83.27428571,0.0,0,2,3,30,3,0.433831581,0,0,0,-1.0,0,1,0.4,0.1,0,0,1,1,18,8
14,15,19,1,10,75,4,2,2414,1,8,18,-10,13,3,2,7.0,7.0,48,30,18,0.823529412,6,7,80.70285714,0.0,0,24,14,15,3,1.263935824,1,0,1,0.0,0,0,0.631578947,0.131578947,0,0,0,1,18,32
15,10,29,1,10,87,4,3,1074,2,18,43,-14,10,1,1,7.0,7.0,123,56,67,0.882352941,7,8,30.99714286,0.0,0,68,29,17,1,0.314850701,1,0,0,0.0,1,0,0.701030928,0.201030928,0,0,0,1,18,13
3,17,12,2,9,50,4,4,830,2,16,44,-4,28,3,2,7.0,7.0,122,64,58,0.176470588,6,7,82.49,0.0,0,64,28,25,3,-0.864898052,0,1,1,0.0,0,0,0.695652174,0.195652174,0,0,0,1,18,13
13,19,25,1,10,75,4,1,3600,1,1,1,0,13,3,2,7.0,7.0,2,2,0,0.764705882,6,7,82.4,0.0,0,1,0,20,3,-6.257349848,1,0,1,0.0,0,0,1.0,0.5,0,0,0,1,18,34
16,11,30,1,10,74,4,3,1463,2,13,34,12,15,3,2,8.0,7.0,90,48,42,0.941176471,8,7,26.21,0.0125,0,36,36,16,1,0.77074609,1,0,1,1.0,1,0,0.5,0.0,0,0,0,1,18,24
